noun,article,shown,incorrect,timestamp
maison,la,0,0,1970-01-01 00:00:00
livre,le,0,0,1970-01-01 00:00:00
femme,la,0,0,1970-01-01 00:00:00
homme,le,0,0,1970-01-01 00:00:00
voiture,la,0,0,1970-01-01 00:00:00
chien,le,0,0,1970-01-01 00:00:00
ville,la,0,0,1970-01-01 00:00:00
ami,le,0,0,1970-01-01 00:00:00
amie,la,0,0,1970-01-01 00:00:00
pomme,la,0,0,1970-01-01 00:00:00
jardin,le,0,0,1970-01-01 00:00:00
enfant,le,0,0,1970-01-01 00:00:00
porte,la,0,0,1970-01-01 00:00:00
table,la,0,0,1970-01-01 00:00:00
bouteille,la,0,0,1970-01-01 00:00:00
sac,le,0,0,1970-01-01 00:00:00
chat,le,0,0,1970-01-01 00:00:00
chaise,la,0,0,1970-01-01 00:00:00
fenêtre,la,0,0,1970-01-01 00:00:00
stylo,le,0,0,1970-01-01 00:00:00
lumière,la,0,0,1970-01-01 00:00:00
arbre,le,0,0,1970-01-01 00:00:00
fleur,la,0,0,1970-01-01 00:00:00
fromage,le,0,0,1970-01-01 00:00:00

